tconst,titleType,primaryTitle,originalTitle,startYear,runtimeMinutes,genres,averageRating,numVotes,directors,plot
tt0000003,movie,Pauvre Pierrot,Pauvre Pierrot,1892,4,"Animation,Comedy,Romance",6.5,1994.0,nm0721526,"One night, Harlequin encounters his beloved Columbina in a courtyard. Soon, however, Pierrot knocks on the door and they hide. Pierrot starts performing a serenade for Columbina, but Harlequin constantly interrupts. He pokes Pierrot with a stick and steals his bottle, always keeping just out of sight. Eventually Pierrot gets scared of the unseen prankster and leaves, allowing Harlequin to enter Columbinas house as the short ends."
tt0000007,movie,Corbett and Courtney Before the Kinetograph,Corbett and Courtney Before the Kinetograph,1894,1,"Short,Sport",5.4,854.0,"nm0005690,nm0374658",James J. Corbett (1866–1933) and Peter Courtney (1867–1896) both take part in a specially arranged boxing match under special conditions that allow for it to be filmed and displayed on a Kinetograph. The match consists of six one-minute rounds. James J. Corbett was a boxing hero of the time while Courtney was the underdog.
tt0000009,movie,Miss Jerry,Miss Jerry,1894,45,Romance,5.3,210.0,nm0085156,"After finding out that her father is suffering financial problems, Jerry Holbrook decides to start a career in journalism in the heart of New York City. While working she falls in love with the editor of her paper, Walter Hamilton. After being offered a job in London, the couple initially have problems but Jerry accepts Walters marriage proposal and they leave for London together."
tt0000010,movie,Leaving the Factory,La sortie de l'usine Lumière à Lyon,1895,1,"Documentary,Short",6.8,7529.0,nm0525910,"Three separate versions of this film exist, which differ from one another in numerous ways-‌‌‌‌‌‌the clothing style changes demonstrating the different seasons in which they were filmed. They are often referred to as the ""one horse"", ""two horses"", and ""no horse"" versions, in reference to a horse-drawn carriage that appears in the first two versions (pulled by one horse in the original and two horses in the first remake). Another film with the same theme was made in 1896, that features another factory (or another entrance to the same factory) with different people."
tt0000013,movie,The Photographical Congress Arrives in Lyon,Le débarquement du congrès de photographie à Lyon,1895,1,"Documentary,Short",5.7,1953.0,nm0525910,Photographers leave the deck of a riverboat in large numbers. In the background a bridge can be seen spanning the river. The film covers a group who have assembled in Neuville for the Congress of Photographic Societies. The film was produced in the morning and then screened to the congress that afternoon.
tt0000014,movie,The Waterer Watered,L'arroseur arrosé,1895,1,"Comedy,Short",7.1,5819.0,nm0525910,"Shot in Lyon in the spring of 1895, the film portrays a simple practical joke in which a gardener is tormented by a boy who steps on the hose that the gardener is using to water his plants, cutting off the water flow. When the gardener tilts the nozzle up to inspect it, the boy releases the hose, causing the water to spray him. The gardener is stunned, soaked and his hat is knocked off, but he soon catches on. A chase ensues, both on and off-screen (the camera never moves from its original position) until the gardener catches the boy and administers a spanking. The entire film lasts only 45 seconds, but this simple bit of slapstick may be the forerunner of all subsequent film comedy.  The 1896 film version replaces the boy with a teenager and the spanking action is substituted with a kick in the rump."
tt0000015,movie,Autour d'une cabine,Autour d'une cabine,1894,2,"Animation,Short",6.1,1160.0,nm0721526,"The film consists of a series of animations on a beach containing two beach huts and a diving board. Two characters play at diving into the water from the diving board and then appear on the beach. The woman begins to play with a small dog and is then joined by a gentleman. The two play around on the beach before getting changed into bathing costumes and going into the water. They bob up and down in the water before swimming out of the scene. Once the couple have gone, a man sails out in a boat."
tt0000024,movie,Opening of the Kiel Canal,Opening of the Kiel Canal,1895,1,"News,Short",3.9,128.0,nm0010291,The film opens with a shot of the North Sea Canal with a winged statue on the far side. Three men row towards the shore in a small rowing boat while a small boy waits on the quayside and then turns to face the camera.
tt0000026,movie,The Messers. Lumière at Cards,Partie d'écarté,1896,1,"Documentary,Short",5.6,1597.0,nm0525910,"Three older men, wearing hats and smoking cigars, are sitting at a patio. Two of the men are playing cards (Écarté) at a table while the third man sits watching. As the game continues a (younger) waiter walks across carrying a tray with a bottle of wine and glasses on it. The man sitting at the table then proceeds to pour the drinks while the waiter observes the card game."
tt0000027,movie,Cordeliers' Square in Lyon,Place des Cordeliers à Lyon,1895,1,"Documentary,Short",5.6,1202.0,nm0525910,"The film has no plot as such but is instead a stationary camera positioned on the Place des Cordeliers in Lyon. The camera observes the traffic passing along the street, including people walking and a number of horses pulling carriages."
