movieId,title,genres
2,Jumanji (1995),Adventure|Children|Fantasy
4,Waiting to Exhale (1995),Comedy|Drama|Romance
5,Father of the Bride Part II (1995),Comedy
10,GoldenEye (1995),Action|Adventure|Thriller
12,Dracula: Dead and Loving It (1995),Comedy|Horror
14,Nixon (1995),Drama
18,Four Rooms (1995),Comedy
25,Leaving Las Vegas (1995),Drama|Romance
29,"City of Lost Children, The (Cité des enfants perdus, La) (1995)",Adventure|Drama|Fantasy|Mystery|Sci-Fi
32,Twelve Monkeys (a.k.a. 12 Monkeys) (1995),Mystery|Sci-Fi|Thriller
34,Babe (1995),Children|Drama
41,Richard III (1995),Drama|War
42,Dead Presidents (1995),Action|Crime|Drama
47,Seven (a.k.a. Se7en) (1995),Mystery|Thriller
50,"Usual Suspects, The (1995)",Crime|Mystery|Thriller
57,Home for the Holidays (1995),Drama
69,Friday (1995),Comedy
73,"Misérables, Les (1995)",Drama|War
94,Beautiful Girls (1996),Comedy|Drama|Romance
95,Broken Arrow (1996),Action|Adventure|Thriller
110,Braveheart (1995),Action|Drama|War
111,Taxi Driver (1976),Crime|Drama|Thriller
112,Rumble in the Bronx (Hont faan kui) (1995),Action|Adventure|Comedy|Crime
122,Boomerang (1992),Comedy|Romance
135,Down Periscope (1996),Comedy
145,Bad Boys (1995),Action|Comedy|Crime|Drama|Thriller
147,"Basketball Diaries, The (1995)",Drama
154,Beauty of the Day (Belle de jour) (1967),Drama
157,Canadian Bacon (1995),Comedy|War
158,Casper (1995),Adventure|Children
163,Desperado (1995),Action|Romance|Western
170,Hackers (1995),Action|Adventure|Crime|Thriller
172,Johnny Mnemonic (1995),Action|Sci-Fi|Thriller
173,Judge Dredd (1995),Action|Crime|Sci-Fi
175,Kids (1995),Drama
181,Mighty Morphin Power Rangers: The Movie (1995),Action|Children
194,Smoke (1995),Comedy|Drama
198,Strange Days (1995),Action|Crime|Drama|Mystery|Sci-Fi|Thriller
204,Under Siege 2: Dark Territory (1995),Action
222,Circle of Friends (1995),Drama|Romance
224,Don Juan DeMarco (1995),Comedy|Drama|Romance
225,Disclosure (1994),Drama|Thriller
229,Death and the Maiden (1994),Drama|Thriller
231,Dumb & Dumber (Dumb and Dumber) (1994),Adventure|Comedy
232,Eat Drink Man Woman (Yin shi nan nu) (1994),Comedy|Drama|Romance
233,Exotica (1994),Drama
235,Ed Wood (1994),Comedy|Drama
249,Immortal Beloved (1994),Drama|Romance
256,Junior (1994),Comedy|Sci-Fi
266,Legends of the Fall (1994),Drama|Romance|War|Western
267,Major Payne (1995),Comedy
272,"Madness of King George, The (1994)",Comedy|Drama
276,Milk Money (1994),Comedy|Romance
281,Nobody's Fool (1994),Comedy|Drama|Romance
282,Nell (1994),Drama
289,Only You (1994),Comedy|Romance
292,Outbreak (1995),Action|Drama|Sci-Fi|Thriller
296,Pulp Fiction (1994),Comedy|Crime|Drama|Thriller
300,Quiz Show (1994),Drama
303,"Quick and the Dead, The (1995)",Action|Thriller|Western
305,Ready to Wear (Pret-A-Porter) (1994),Comedy
308,Three Colors: White (Trzy kolory: Bialy) (1994),Comedy|Drama
339,While You Were Sleeping (1995),Comedy|Romance
344,Ace Ventura: Pet Detective (1994),Comedy
345,"Adventures of Priscilla, Queen of the Desert, The (1994)",Comedy|Drama
348,Bullets Over Broadway (1994),Comedy
356,Forrest Gump (1994),Comedy|Drama|Romance|War
357,Four Weddings and a Funeral (1994),Comedy|Romance
371,"Paper, The (1994)",Comedy|Drama
372,Reality Bites (1994),Comedy|Drama|Romance
373,Red Rock West (1992),Thriller
377,Speed (1994),Action|Romance|Thriller
